Probe	Ensembl	chromosome_name
240736	ENSG00000000003	X
290445	ENSG00000000005	X
5670626	ENSG00000000419	20
2030068	ENSG00000000457	1
940240	ENSG00000000460	1
360619	ENSG00000000938	1
380424	ENSG00000000971	1
6450768	ENSG00000001036	6
4730670	ENSG00000001084	6
3870056	ENSG00000001167	6
4540537	ENSG00000001460	1
5090739	ENSG00000001461	1
240661	ENSG00000001497	X
3060471	ENSG00000001561	6
2970672	ENSG00000001629	7
5960446	ENSG00000001631	7
840273	ENSG00000002016	12
5860376	ENSG00000002330	11
3290292	ENSG00000002549	4
4290097	ENSG00000002586	X
4560632	ENSG00000002587	4
5420440	ENSG00000002726	7
2490561	ENSG00000002745	7
2630370	ENSG00000002822	7
620300	ENSG00000002834	17
130446	ENSG00000002919	17
5720682	ENSG00000002933	7
1070286	ENSG00000003056	12
7380142	ENSG00000003096	X
6280224	ENSG00000003137	2
3780273	ENSG00000003147	7
7210674	ENSG00000003249	16
2140156	ENSG00000003393	2
7100301	ENSG00000003400	2
1240593	ENSG00000003402	2
1340039	ENSG00000003436	2
620228	ENSG00000003509	2
3060450	ENSG00000003756	3
840608	ENSG00000003987	8
3370189	ENSG00000004059	7
4150593	ENSG00000004139	17
7200356	ENSG00000004142	17
4210370	ENSG00000004399	3
1990491	ENSG00000004455	1
2760500	ENSG00000004468	4
2100750	ENSG00000004478	12
7380088	ENSG00000004534	3
4730386	ENSG00000004660	17
3890750	ENSG00000004700	12
460682	ENSG00000004766	7
60167	ENSG00000004777	19
4860563	ENSG00000004779	16
3310504	ENSG00000004799	7
2480072	ENSG00000004809	6
4540066	ENSG00000004838	3
4070020	ENSG00000004848	X
2320400	ENSG00000004864	7
4570575	ENSG00000004866	7
6550537	ENSG00000004897	17
10681	ENSG00000004939	17
2970762	ENSG00000004961	X
7570059	ENSG00000004975	17
510546	ENSG00000005001	16
1450168	ENSG00000005007	19
6040008	ENSG00000005020	7
6550673	ENSG00000005022	X
6350333	ENSG00000005075	7
2450286	ENSG00000005100	17
1230594	ENSG00000005102	17
3460431	ENSG00000005156	17
2000392	ENSG00000005175	12
6580735	ENSG00000005187	16
3060703	ENSG00000005189	16
6380192	ENSG00000005206	19
4880392	ENSG00000005238	9
5820292	ENSG00000005243	17
5900309	ENSG00000005249	7
1740433	ENSG00000005302	X
6840148	ENSG00000005339	16
6420646	ENSG00000005379	17
3520601	ENSG00000005381	17
2030148	ENSG00000005448	2
3830274	ENSG00000005469	7
1070594	ENSG00000005471	7
2100653	ENSG00000005483	7
7320139	ENSG00000005513	16
6200647	ENSG00000005700	6
5550068	ENSG00000005801	11
6650451	ENSG00000005810	13
2320768	ENSG00000005812	13
4180494	ENSG00000005844	16
4230377	ENSG00000005882	17
1430196	ENSG00000005884	17
7510088	ENSG00000005889	X
780041	ENSG00000005893	X
5340468	ENSG00000005961	17
6520075	ENSG00000006007	16
6760414	ENSG00000006015	19
4760095	ENSG00000006016	19
1440575	ENSG00000006025	17
6040600	ENSG00000006042	17
4070309	ENSG00000006047	17
6400369	ENSG00000006062	17
4610112	ENSG00000006114	
1690370	ENSG00000006118	11
2340451	ENSG00000006125	17
2510332	ENSG00000006194	16
5050520	ENSG00000006282	17
6510377	ENSG00000006327	16
1230176	ENSG00000006432	14
5700343	ENSG00000006453	7
5420433	ENSG00000006459	7
1010324	ENSG00000006468	7
7560452	ENSG00000006530	7
2970356	ENSG00000006534	11
940066	ENSG00000006576	7
4830468	ENSG00000006607	2
3780056	ENSG00000006625	7
520687	ENSG00000006634	7
1780088	ENSG00000006638	19
2340082	ENSG00000006652	7
3930053	ENSG00000006695	17
5310768	ENSG00000006712	19
270452	ENSG00000006715	7
110575	ENSG00000006740	17
60202	ENSG00000006744	17
730592	ENSG00000006747	7
6580689	ENSG00000006756	X
6560634	ENSG00000006757	X
6960685	ENSG00000006831	12
3610156	ENSG00000006837	5
4780373	ENSG00000007038	16
3520309	ENSG00000007047	19
2070537	ENSG00000007080	19
1190307	ENSG00000007129	19
5670075	ENSG00000007168	17
5690451	ENSG00000007171	17
5420204	ENSG00000007202	17
1070435	ENSG00000007237	17
6860072	ENSG00000007255	19
5670605	ENSG00000007264	19
4260725	ENSG00000007312	17
3390435	ENSG00000007314	17
3610164	ENSG00000007341	1
1510646	ENSG00000007350	X
1740100	ENSG00000007372	11
6290181	ENSG00000007376	16
1710189	ENSG00000007384	16
3610100	ENSG00000007392	16
3120180	ENSG00000007402	3
780719	ENSG00000007516	16
2370414	ENSG00000007520	16
6040767	ENSG00000007541	16
5340066	ENSG00000007545	16
20717	ENSG00000007866	6
450408	ENSG00000007923	1
4830424	ENSG00000007944	6
4730092	ENSG00000007952	X
5340338	ENSG00000007968	1
2760376	ENSG00000008018	6
2120360	ENSG00000008056	X
2320286	ENSG00000008083	6
7150097	ENSG00000008086	X
7200035	ENSG00000008226	3
2750603	ENSG00000008256	7
2490255	ENSG00000008277	7
1190452	ENSG00000008282	7
840446	ENSG00000008283	17
1770730	ENSG00000008294	17
6350437	ENSG00000008300	3
1500465	ENSG00000008311	7
3120187	ENSG00000008323	12
4760564	ENSG00000008324	3
5080131	ENSG00000008394	12
2850059	ENSG00000008405	12
6250615	ENSG00000008438	19
5720129	ENSG00000008441	19
1300601	ENSG00000008513	8
6020630	ENSG00000008516	16
1400274	ENSG00000008517	16
6060288	ENSG00000008710	16
1770019	ENSG00000008735	22
7400411	ENSG00000008838	17
1090487	ENSG00000008853	8
3290079	ENSG00000008869	2
110327	ENSG00000008952	3
6960110	ENSG00000008988	8
7510114	ENSG00000009307	1
1690709	ENSG00000009335	7
610040	ENSG00000009413	6
2750202	ENSG00000009694	X
7040398	ENSG00000009724	1
7040524	ENSG00000009780	1
3450154	ENSG00000009790	1
6290292	ENSG00000009830	14
1980022	ENSG00000009844	6
4610349	ENSG00000010017	6
6370768	ENSG00000010030	6
20553	ENSG00000010072	1
6520408	ENSG00000010165	1
6270382	ENSG00000010219	12
5550360	ENSG00000010270	7
6250487	ENSG00000010278	12
7400008	ENSG00000010282	3
2680497	ENSG00000010292	12
6620050	ENSG00000010295	12
1850382	ENSG00000010310	19
10037	ENSG00000010318	3
2260154	ENSG00000010319	3
5960678	ENSG00000010322	3
6040053	ENSG00000010327	3
5900414	ENSG00000010361	19
6960017	ENSG00000010379	12
2600138	ENSG00000010404	X
3780167	ENSG00000010539	16
6770711	ENSG00000010610	12
10523	ENSG00000010626	12
6380161	ENSG00000010671	X
2000112	ENSG00000010704	6
430168	ENSG00000010803	1
610164	ENSG00000010810	6
6590730	ENSG00000010818	6
6560148	ENSG00000011007	1
6480088	ENSG00000011009	1
3850136	ENSG00000011021	1
4050593	ENSG00000011028	17
7570196	ENSG00000011105	12
1780403	ENSG00000011114	14
4070014	ENSG00000011132	19
4260176	ENSG00000011143	17
5860215	ENSG00000011198	3
6620008	ENSG00000011201	X
4890703	ENSG00000011258	17
7550008	ENSG00000011275	7
7040168	ENSG00000011295	17
4260754	ENSG00000011304	19
4280767	ENSG00000011376	3
5270379	ENSG00000011405	11
730528	ENSG00000011422	19
6450669	ENSG00000011426	7
2850538	ENSG00000011454	9
3400091	ENSG00000011478	19
6770593	ENSG00000011485	19
1110039	ENSG00000011523	2
7560273	ENSG00000011590	19
2370358	ENSG00000011600	19
7560575	ENSG00000011638	16
2340093	ENSG00000011677	X
2810465	ENSG00000012048	17
3840056	ENSG00000012061	19
1010754	ENSG00000012124	19
4220433	ENSG00000012171	3
4220059	ENSG00000012174	X
840706	ENSG00000012211	X
5550367	ENSG00000012223	3
10184	ENSG00000012232	8
4210129	ENSG00000012660	6
1780273	ENSG00000012779	10
5870739	ENSG00000012817	Y
2140398	ENSG00000012822	12
6100576	ENSG00000012963	14
2690475	ENSG00000012983	14
7510008	ENSG00000013016	2
6180440	ENSG00000013275	19
4810438	ENSG00000013288	4
650634	ENSG00000013306	17
3360646	ENSG00000013364	16
6200672	ENSG00000013374	7
6420739	ENSG00000013375	6
6420368	ENSG00000013392	6
1690121	ENSG00000013441	2
4780253	ENSG00000013503	12
5550086	ENSG00000013523	14
6510681	ENSG00000013561	5
1510543	ENSG00000013563	X
4890750	ENSG00000013573	12
360689	ENSG00000013583	12
2320343	ENSG00000013619	X
6590228	ENSG00000013725	11
4150564	ENSG00000014123	6
4920537	ENSG00000014138	11
4760538	ENSG00000014164	8
1570672	ENSG00000014216	11
2680725	ENSG00000014257	3
4220170	ENSG00000014824	4
3890138	ENSG00000014914	1
4200100	ENSG00000014919	10
3130224	ENSG00000015133	14
3830059	ENSG00000015153	12
1190626	ENSG00000015171	10
70451	ENSG00000015285	X
5270136	ENSG00000015475	22
5220441	ENSG00000015479	5
1170670	ENSG00000015520	7
6250465	ENSG00000015532	17
4290273	ENSG00000015676	7
5910433	ENSG00000016391	3
430400	ENSG00000016864	3
780367	ENSG00000017260	3
3310400	ENSG00000017427	12
4860181	ENSG00000017483	X
1190546	ENSG00000017797	18
4040471	ENSG00000018189	4
780465	ENSG00000018280	2
1110730	ENSG00000018408	3
7560154	ENSG00000018510	2
4610541	ENSG00000018610	X
3290044	ENSG00000018699	2
5670253	ENSG00000018869	19
4070070	ENSG00000019102	11
5130093	ENSG00000019144	11
3180392	ENSG00000019169	2
6400131	ENSG00000019186	20
5090221	ENSG00000019485	11
7040008	ENSG00000019582	5
4480270	ENSG00000019991	7
1410427	ENSG00000019995	10
160390	ENSG00000020129	1
6040736	ENSG00000020181	8
4670328	ENSG00000020256	20
2060564	ENSG00000020426	14
1440564	ENSG00000020633	1
5260731	ENSG00000020922	11
2690133	ENSG00000021300	11
3190112	ENSG00000021355	6
6520687	ENSG00000021488	19
4480010	ENSG00000021574	2
2190689	ENSG00000021762	11
1070546	ENSG00000021776	15
6110044	ENSG00000021826	2
4640446	ENSG00000022267	X
4180673	ENSG00000022277	20
1510170	ENSG00000022556	19
3310632	ENSG00000022567	8
6760291	ENSG00000022840	12
2260376	ENSG00000022976	14
540402	ENSG00000023041	10
6220739	ENSG00000023171	11
1690209	ENSG00000023191	11
5080687	ENSG00000023228	2
3890092	ENSG00000023287	8
940286	ENSG00000023318	9
5860278	ENSG00000023330	3
7210154	ENSG00000023445	11
6420398	ENSG00000023516	13
1240414	ENSG00000023572	1
4250309	ENSG00000023608	14
1770279	ENSG00000023697	12
4200672	ENSG00000023734	12
2230746	ENSG00000023839	10
1570255	ENSG00000023892	6
3450280	ENSG00000023902	1
1990577	ENSG00000023909	1
5080523	ENSG00000024422	19
2120132	ENSG00000024526	1
2000504	ENSG00000024862	6
6480209	ENSG00000025039	6
130121	ENSG00000025156	6
4210241	ENSG00000025293	20
4040441	ENSG00000025423	12
3710450	ENSG00000025434	11
2350504	ENSG00000025708	22
6370242	ENSG00000025770	22
1190445	ENSG00000025772	20
4290598	ENSG00000025796	6
5340021	ENSG00000025800	1
5910767	ENSG00000026036	20
460438	ENSG00000026103	10
2850100	ENSG00000026297	6
5860152	ENSG00000026508	11
7210288	ENSG00000026559	20
3440025	ENSG00000026652	6
4280497	ENSG00000026751	1
3130600	ENSG00000026950	6
6350356	ENSG00000027001	13
3290731	ENSG00000027075	14
2470358	ENSG00000027697	6
520332	ENSG00000027847	5
3460142	ENSG00000027869	1
6550020	ENSG00000028116	2
2490537	ENSG00000028137	1
5550475	ENSG00000028203	12
650630	ENSG00000028277	19
2190563	ENSG00000028310	5
580121	ENSG00000028528	15
770523	ENSG00000029153	12
3870634	ENSG00000029363	6
4180341	ENSG00000029364	14
3180209	ENSG00000029534	8
2340626	ENSG00000029639	6
240110	ENSG00000029725	17
7570050	ENSG00000029993	X
5050670	ENSG00000030066	11
1440358	ENSG00000030419	2
1940021	ENSG00000030582	17
5900544	ENSG00000031003	5
2060543	ENSG00000031081	3
2350630	ENSG00000031691	6
6020093	ENSG00000031698	1
2630719	ENSG00000031823	19
7160440	ENSG00000032219	14
5700722	ENSG00000032389	2
1690446	ENSG00000032444	19
4490253	ENSG00000032742	13
5560670	ENSG00000033011	16
2760041	ENSG00000033030	12
7100039	ENSG00000033050	7
1740326	ENSG00000033100	7
3870497	ENSG00000033170	14
2070019	ENSG00000033178	4
540368	ENSG00000033327	11
1660215	ENSG00000033627	17
1820019	ENSG00000033800	15
620543	ENSG00000033867	3
3710053	ENSG00000034053	15
3170017	ENSG00000034152	17
4120445	ENSG00000034239	8
6650026	ENSG00000034533	3
7160010	ENSG00000034677	8
6860066	ENSG00000034693	6
3120520	ENSG00000034713	16
2570288	ENSG00000035115	2
3890671	ENSG00000035141	2
70592	ENSG00000035403	10
2370441	ENSG00000035499	5
4290524	ENSG00000035664	15
6770376	ENSG00000035681	8
5960097	ENSG00000035687	1
380201	ENSG00000035720	4
780270	ENSG00000035862	17
6290110	ENSG00000035928	4
6200066	ENSG00000036257	2
4050717	ENSG00000036448	8
1170615	ENSG00000036473	X
1300441	ENSG00000036549	1
6130603	ENSG00000036565	8
3520128	ENSG00000037042	17
2690356	ENSG00000037280	5
3450093	ENSG00000037474	5
6100551	ENSG00000037637	1
2710307	ENSG00000037749	5
160736	ENSG00000037757	19
650348	ENSG00000037897	12
130064	ENSG00000038002	4
770047	ENSG00000038210	4
670431	ENSG00000038219	4
3170398	ENSG00000038274	5
6960037	ENSG00000038358	16
5340576	ENSG00000038382	5
5910113	ENSG00000038427	5
160224	ENSG00000038532	16
4570193	ENSG00000038945	8
1300113	ENSG00000039068	16
1230112	ENSG00000039319	5
6480092	ENSG00000039523	16
6370187	ENSG00000039560	5
1300445	ENSG00000039600	5
